,PL,TEAMPLACE,LASTNAME,FIRSTNAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,MEET,DATE,5k,600m,1k,2k,2.25k,2.5 Miles,4.25k,5.5k,7k,7.25k,Unnamed: 0,GAP,Avg. K
7,8,1,Hinwood, Lachlan,SR-4,Macalester,5:27.0,27:05.5,7,River Falls,2016,,,,,,,,,,,,,
11,12,2,Grant, Spencer,SO-2,Macalester,5:34.5,27:42.7,11,River Falls,2016,,,,,,,,,,,,,
15,16,3,Harper, Henry,FR-1,Macalester,5:35.3,27:46.9,15,River Falls,2016,,,,,,,,,,,,,
18,19,4,Boranian, Chris,SO-2,Macalester,5:37.5,27:57.6,18,River Falls,2016,,,,,,,,,,,,,
23,24,5,Lepak, Jake,FR-1,Macalester,5:39.5,28:07.7,22,River Falls,2016,,,,,,,,,,,,,
38,39,6,Doherty, James,SO-2,Macalester,5:47.5,28:47.7,36,River Falls,2016,,,,,,,,,,,,,
44,45,7,Richmond, Sam,SO-2,Macalester,5:52.5,29:12.4,42,River Falls,2016,,,,,,,,,,,,,
45,46,8,Engberg, Ethan,SO-2,Macalester,5:52.9,29:14.2,,River Falls,2016,,,,,,,,,,,,,
48,49,9,Bildsten, Ben,FR-1,Macalester,5:53.7,29:18.2,,River Falls,2016,,,,,,,,,,,,,
53,54,10,Nelson, Spencer,SR-4,Macalester,6:02.1,30:00.0,,River Falls,2016,,,,,,,,,,,,,
54,55,11,Townsend, Ben,FR-1,Macalester,6:03.0,30:04.8,,River Falls,2016,,,,,,,,,,,,,
55,56,12,Kirchmeier, Kemal,SR-4,Macalester,6:04.6,30:12.8,,River Falls,2016,,,,,,,,,,,,,
56,57,13,O'Donnell-Hoff, Sam,FR-1,Macalester,6:06.1,30:20.0,,River Falls,2016,,,,,,,,,,,,,
63,64,14,Gordon, Alex,JR-3,Macalester,6:14.2,31:00.3,,River Falls,2016,,,,,,,,,,,,,
71,72,15,Martinez, Mason,SO-2,Macalester,6:23.5,31:46.7,,River Falls,2016,,,,,,,,,,,,,
74,75,16,Hernandez, Armando,FR-1,Macalester,6:25.9,31:58.4,,River Falls,2016,,,,,,,,,,,,,
82,83,17,Loeffler-Kemp, Seth,SR-4,Macalester,6:40.5,33:11.2,,River Falls,2016,,,,,,,,,,,,,
85,86,18,Feeney, Will,JR-3,Macalester,6:43.4,33:25.7,,River Falls,2016,,,,,,,,,,,,,
90,91,19,Stokes, Rob,FR-1,Macalester,6:58.0,34:38.0,,River Falls,2016,,,,,,,,,,,,,
3,4,1,Grant, Spencer,SO-2,Macalester,5:25,21:44,4,Summit Cup,2016,,,,,,,,,,,,,
4,5,2,Hinwood, Lachlan,SR-4,Macalester,5:26,21:48,5,Summit Cup,2016,,,,,,,,,,,,,
6,7,3,Boranian, Chris,SO-2,Macalester,5:30,22:03,7,Summit Cup,2016,,,,,,,,,,,,,
17,18,4,Doherty, James,SO-2,Macalester,5:38,22:34,11,Summit Cup,2016,,,,,,,,,,,,,
18,19,5,Harper, Henry,FR-1,Macalester,5:38,22:35,12,Summit Cup,2016,,,,,,,,,,,,,
19,20,6,Lepak, Jake,FR-1,Macalester,5:39,22:37,13,Summit Cup,2016,,,,,,,,,,,,,
21,22,7,Mac, Mac,FR,Macalester,5:46,23:08,14,Summit Cup,2016,,,,,,,,,,,,,
23,24,8,Engberg, Ethan,SO-2,Macalester,5:47,23:09,,Summit Cup,2016,,,,,,,,,,,,,
26,27,9,Richmond, Sam,SO-2,Macalester,5:53,23:34,,Summit Cup,2016,,,,,,,,,,,,,
27,28,10,Nelson, Spencer,SR-4,Macalester,5:53,23:35,,Summit Cup,2016,,,,,,,,,,,,,
28,29,11,Jarka-Sellers, Peter,FR-1,Macalester,5:54,23:39,,Summit Cup,2016,,,,,,,,,,,,,
29,30,12,Kirchmeier, Kemal,SR-4,Macalester,5:58,23:54,,Summit Cup,2016,,,,,,,,,,,,,
31,32,13,Bildsten, Ben,FR-1,Macalester,6:01,24:06,,Summit Cup,2016,,,,,,,,,,,,,
32,33,14,Townsend, Ben,FR-1,Macalester,6:05,24:21,,Summit Cup,2016,,,,,,,,,,,,,
34,35,15,O'Donnell-Hoff, Sam,FR-1,Macalester,6:12,24:52,,Summit Cup,2016,,,,,,,,,,,,,
35,36,16,Heen, Kai,JR-3,Macalester,6:19,25:19,,Summit Cup,2016,,,,,,,,,,,,,
37,38,17,Gordon, Alex,JR-3,Macalester,6:28,25:55,,Summit Cup,2016,,,,,,,,,,,,,
38,39,18,Hernandez, Armando,FR-1,Macalester,6:28,25:56,,Summit Cup,2016,,,,,,,,,,,,,
40,41,19,Zaidi, Tayeb,SR-4,Macalester,6:30,26:04,,Summit Cup,2016,,,,,,,,,,,,,
41,42,20,Feeney, Will,JR-3,Macalester,6:32,26:09,,Summit Cup,2016,,,,,,,,,,,,,
42,43,21,Martinez, Mason,SO-2,Macalester,6:39,26:38,,Summit Cup,2016,,,,,,,,,,,,,
43,44,22,Loeffler-Kemp, Seth,SR-4,Macalester,6:42,26:52,,Summit Cup,2016,,,,,,,,,,,,,
44,45,23,Stokes, Rob,FR-1,Macalester,7:34,30:20,,Summit Cup,2016,,,,,,,,,,,,,
5,6,1,Hinwood, Lachlan,SR-4,Macalester,5:38.3,28:01.9,6,Griak,2016,,,,,,,,,,,,,
25,26,2,Boranian, Chris,SO-2,Macalester,5:53.5,29:17.2,25,Griak,2016,,,,,,,,,,,,,
28,29,3,Doherty, James,SO-2,Macalester,5:55.3,29:26.2,28,Griak,2016,,,,,,,,,,,,,
34,35,4,Lepak, Jake,FR-1,Macalester,5:57.3,29:36.3,32,Griak,2016,,,,,,,,,,,,,
37,38,5,Harper, Henry,FR-1,Macalester,6:00.5,29:52.2,35,Griak,2016,,,,,,,,,,,,,
39,40,6,Grant, Spencer,SO-2,Macalester,6:01.0,29:54.9,37,Griak,2016,,,,,,,,,,,,,
48,49,7,Nelson, Spencer,SR-4,Macalester,6:05.0,30:14.7,43,Griak,2016,,,,,,,,,,,,,
52,53,8,Richmond, Sam,SO-2,Macalester,6:07.1,30:25.2,,Griak,2016,,,,,,,,,,,,,
54,55,9,Bildsten, Ben,FR-1,Macalester,6:10.9,30:43.7,,Griak,2016,,,,,,,,,,,,,
55,56,10,Jarka-Sellers, Peter,FR-1,Macalester,6:11.8,30:48.6,,Griak,2016,,,,,,,,,,,,,
58,59,11,Townsend, Ben,FR-1,Macalester,6:13.0,30:54.2,,Griak,2016,,,,,,,,,,,,,
66,67,12,O'Donnell-Hoff, Sam,FR-1,Macalester,6:22.1,31:39.6,,Griak,2016,,,,,,,,,,,,,
67,68,13,Kirchmeier, Kemal,SR-4,Macalester,6:24.0,31:49.1,,Griak,2016,,,,,,,,,,,,,
70,71,14,Gordon, Alex,JR-3,Macalester,6:30.7,32:22.5,,Griak,2016,,,,,,,,,,,,,
75,76,15,Martinez, Mason,SO-2,Macalester,6:43.0,33:23.4,,Griak,2016,,,,,,,,,,,,,
80,81,16,Loeffler-Kemp, Seth,SR-4,Macalester,7:01.6,34:56.0,,Griak,2016,,,,,,,,,,,,,
81,82,17,Feeney, Will,JR-3,Macalester,7:05.5,35:15.5,,Griak,2016,,,,,,,,,,,,,
31,32,1,Hinwood, Lachlan,SR-4,Macalester,5:19.1,26:26.4,28,Blugold Invitational,2016,16:23.6,,,,,,,,,,,,
54,55,2,Grant, Spencer,SO-2,Macalester,5:24.5,26:53.1,42,Blugold Invitational,2016,16:39.0,,,,,,,,,,,,
93,94,3,Harper, Henry,FR-1,Macalester,5:32.5,27:32.9,62,Blugold Invitational,2016,17:03.6,,,,,,,,,,,,
101,102,4,Boranian, Chris,SO-2,Macalester,5:34.1,27:41.0,66,Blugold Invitational,2016,17:25.7,,,,,,,,,,,,
103,104,5,Doherty, James,SO-2,Macalester,5:34.4,27:42.4,67,Blugold Invitational,2016,17:25.5,,,,,,,,,,,,
139,140,6,Nelson, Spencer,SR-4,Macalester,5:39.8,28:09.4,79,Blugold Invitational,2016,17:35.9,,,,,,,,,,,,
149,150,7,Lepak, Jake,FR-1,Macalester,5:41.4,28:17.0,81,Blugold Invitational,2016,17:22.5,,,,,,,,,,,,
186,187,8,Bildsten, Ben,FR-1,Macalester,5:49.7,28:58.5,,Blugold Invitational,2016,18:05.7,,,,,,,,,,,,
199,200,9,Kirchmeier, Kemal,SR-4,Macalester,5:53.1,29:15.3,,Blugold Invitational,2016,18:06.2,,,,,,,,,,,,
203,204,10,O'Donnell-Hoff, Sam,FR-1,Macalester,5:54.5,29:22.5,,Blugold Invitational,2016,18:32.2,,,,,,,,,,,,
205,206,11,Gordon, Alex,JR-3,Macalester,5:54.9,29:24.5,,Blugold Invitational,2016,18:15.1,,,,,,,,,,,,
215,216,12,Jarka-Sellers, Peter,FR-1,Macalester,5:58.5,29:42.3,,Blugold Invitational,2016,18:27.1,,,,,,,,,,,,
225,226,13,Engberg, Ethan,SO-2,Macalester,6:02.1,30:00.0,,Blugold Invitational,2016,18:33.8,,,,,,,,,,,,
228,229,14,Richmond, Sam,SO-2,Macalester,6:04.2,30:10.6,,Blugold Invitational,2016,18:15.2,,,,,,,,,,,,
237,238,15,Zaidi, Tayeb,SR-4,Macalester,6:07.5,30:27.0,,Blugold Invitational,2016,18:35.0,,,,,,,,,,,,
250,251,16,Heen, Kai,JR-3,Macalester,6:15.7,31:07.6,,Blugold Invitational,2016,19:31.2,,,,,,,,,,,,
253,254,17,Martinez, Mason,SO-2,Macalester,6:17.5,31:16.9,,Blugold Invitational,2016,19:41.2,,,,,,,,,,,,
257,258,18,Hernandez, Armando,FR-1,Macalester,6:23.0,31:44.2,,Blugold Invitational,2016,19:30.9,,,,,,,,,,,,
261,262,19,Feeney, Will,JR-3,Macalester,6:24.8,31:53.3,,Blugold Invitational,2016,19:57.1,,,,,,,,,,,,
270,271,20,Loeffler-Kemp, Seth,SR-4,Macalester,6:39.1,33:04.0,,Blugold Invitational,2016,20:22.0,,,,,,,,,,,,
273,274,21,Stokes, Rob,FR-1,Macalester,6:54.4,34:20.2,,Blugold Invitational,2016,21:49.2,,,,,,,,,,,,
39,40,1,Hinwood, Lachlan,SR-4,Macalester,5:25.3,26:57.1,37,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
102,103,2,Boranian, Chris,SO-2,Macalester,5:35.6,27:48.2,84,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
140,141,3,Doherty, James,SO-2,Macalester,5:41.2,28:16.2,99,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
146,147,4,Harper, Henry,FR-1,Macalester,5:42.1,28:20.5,103,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
187,188,5,Lepak, Jake,FR-1,Macalester,5:48.4,28:51.8,112,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
198,199,6,Bildsten, Ben,FR-1,Macalester,5:49.8,28:59.2,116,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
214,215,7,Richmond, Sam,SO-2,Macalester,5:52.2,29:11.1,122,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
252,253,8,Engberg, Ethan,SO-2,Macalester,6:00.0,29:49.5,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
262,263,9,Kirchmeier, Kemal,SR-4,Macalester,6:01.7,29:58.1,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
270,271,10,Zaidi, Tayeb,SR-4,Macalester,6:03.2,30:05.8,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
279,280,11,Jarka-Sellers, Peter,FR-1,Macalester,6:05.4,30:16.7,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
290,291,12,O'Donnell-Hoff, Sam,FR-1,Macalester,6:08.6,30:32.5,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
298,299,13,Gordon, Alex,JR-3,Macalester,6:10.8,30:43.5,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
312,313,14,Heen, Kai,JR-3,Macalester,6:16.5,31:11.7,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
347,348,15,Loeffler-Kemp, Seth,SR,Macalester,6:39.2,33:04.8,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
355,356,16,Feeney, Will,JR-3,Macalester,6:52.3,34:09.9,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
362,363,17,Hernandez, Armando,FR-1,Macalester,7:08.4,35:29.8,,Jim Drews Invitational (Lacrosse),2016,,,,,,,,,,,,,
26,27,1,Hinwood, Lachlan,SR-4,Macalester,5:26.4,27:02.6,27,MIAC,2016,,,,,,,,,,,,,
43,44,2,Boranian, Chris,SO-2,Macalester,5:32.4,27:32.4,43,MIAC,2016,,,,,,,,,,,,,
46,47,3,Doherty, James,SO-2,Macalester,5:33.6,27:38.4,46,MIAC,2016,,,,,,,,,,,,,
60,61,4,Harper, Henry,FR-1,Macalester,5:36.5,27:53.0,52,MIAC,2016,,,,,,,,,,,,,
87,88,5,Lepak, Jake,FR-1,Macalester,5:41.8,28:19.4,60,MIAC,2016,,,,,,,,,,,,,
106,107,6,Nelson, Spencer,SR-4,Macalester,5:47.0,28:45.3,63,MIAC,2016,,,,,,,,,,,,,
112,113,7,Engberg, Ethan,SO-2,Macalester,5:48.5,28:52.4,64,MIAC,2016,,,,,,,,,,,,,
126,127,8,Jarka-Sellers, Peter,FR-1,Macalester,5:52.5,29:12.4,,MIAC,2016,,,,,,,,,,,,,
130,131,9,Grant, Spencer,SO-2,Macalester,5:53.3,29:16.4,,MIAC,2016,,,,,,,,,,,,,
137,138,10,Zaidi, Tayeb,SR-4,Macalester,5:56.4,29:31.8,,MIAC,2016,,,,,,,,,,,,,
139,140,11,Richmond, Sam,SO-2,Macalester,5:56.8,29:33.7,,MIAC,2016,,,,,,,,,,,,,
157,158,12,Kirchmeier, Kemal,SR-4,Macalester,6:01.1,29:55.0,,MIAC,2016,,,,,,,,,,,,,
165,166,13,O'Donnell-Hoff, Sam,FR-1,Macalester,6:04.5,30:11.9,,MIAC,2016,,,,,,,,,,,,,
169,170,14,Gordon, Alex,JR-3,Macalester,6:05.7,30:18.1,,MIAC,2016,,,,,,,,,,,,,
172,173,15,Bildsten, Ben,FR-1,Macalester,6:09.1,30:35.0,,MIAC,2016,,,,,,,,,,,,,
181,182,16,Heen, Kai,JR-3,Macalester,6:12.5,30:51.9,,MIAC,2016,,,,,,,,,,,,,
193,194,17,Feeney, Will,JR-3,Macalester,6:27.4,32:06.1,,MIAC,2016,,,,,,,,,,,,,
196,197,18,Loeffler-Kemp, Seth,SR-4,Macalester,6:29.3,32:15.6,,MIAC,2016,,,,,,,,,,,,,
201,202,19,Martinez, Mason,SO-2,Macalester,6:33.3,32:35.1,,MIAC,2016,,,,,,,,,,,,,
48,49,1,Hinwood, Lachlan,SR-4,Macalester,5:20.3,26:32.5,49,Central Region,2016,,2:03.0,3:23.0 (1:20.0),6:41.6 (3:18.7),8:00.4 (1:18.8),13:27.9 (5:27.6),14:47.5 (1:19.6),18:41.8 (3:54.3),23:14.4 (4:32.7),24:32.8 (1:18.5),,,
88,89,2,Doherty, James,SO-2,Macalester,5:27.8,27:09.8,89,Central Region,2016,,2:04.0,3:25.7 (1:21.8),6:46.1 (3:20.4),8:07.7 (1:21.7),13:46.7 (5:39.1),15:10.4 (1:23.8),19:11.6 (4:01.2),23:53.0 (4:41.5),25:11.3 (1:18.3),,,
108,109,3,Boranian, Chris,SO-2,Macalester,5:30.8,27:24.5,109,Central Region,2016,,2:03.4,3:25.5 (1:22.1),6:46.2 (3:20.8),8:07.7 (1:21.6),13:46.3 (5:38.7),15:10.6 (1:24.4),19:16.4 (4:05.8),24:03.3 (4:47.0),25:24.0 (1:20.8),,,
113,114,4,Harper, Henry,FR-1,Macalester,5:32.4,27:32.5,114,Central Region,2016,,2:04.3,3:25.7 (1:21.4),6:46.4 (3:20.7),8:07.8 (1:21.5),13:47.1 (5:39.3),15:10.7 (1:23.7),19:16.9 (4:06.2),24:06.8 (4:50.0),25:29.2 (1:22.4),,,
129,130,5,Lepak, Jake,FR-1,Macalester,5:37.8,27:59.1,130,Central Region,2016,,2:03.2,3:24.9 (1:21.7),6:43.1 (3:18.3),8:02.7 (1:19.7),13:45.9 (5:43.2),15:12.1 (1:26.3),19:29.9 (4:17.9),24:28.6 (4:58.7),25:53.7 (1:25.2),,,
159,160,6,Grant, Spencer,SO-2,Macalester,5:51.4,29:07.1,160,Central Region,2016,,2:03.7,3:25.3 (1:21.6),6:44.6 (3:19.4),8:06.5 (1:21.9),14:05.5 (5:59.1),15:35.8 (1:30.4),20:10.6 (4:34.8),25:32.8 (5:22.3),27:00.0 (1:27.2),,,
160,161,7,Nelson, Spencer,SR-4,Macalester,5:51.7,29:08.4,161,Central Region,2016,,2:04.5,3:26.1 (1:21.7),6:48.0 (3:21.9),8:12.4 (1:24.5),14:16.7 (6:04.3),15:48.5 (1:31.8),20:17.6 (4:29.2),25:28.8 (5:11.3),26:57.2 (1:28.4),,,
0,10,1,Hinwood,Lachlan,SR,Macalester College,5:21.5,16:40.1,10,Augsburg Open,2016,,,,,,,,,,,9.0,0:44.1,3:20.0
1,13,2,Grant,Spencer,SO,Macalester College,5:25.0,16:50.9,13,Augsburg Open,2016,,,,,,,,,,,12.0,0:54.9,3:22.2
2,16,3,Boranian,Chris,SO,Macalester College,5:26.8,16:56.4,16,Augsburg Open,2016,,,,,,,,,,,15.0,1:00.4,3:23.3
3,17,4,Lepak,Jake,FR,Macalester College,5:28.4,17:01.3,17,Augsburg Open,2016,,,,,,,,,,,16.0,1:05.3,3:24.2
4,18,5,Doherty,Mac,SO,Macalester College,5:28.6,17:02.1,18,Augsburg Open,2016,,,,,,,,,,,17.0,1:06.1,3:24.4
5,27,6,Harper,Henry,FR,Macalester College,5:32.4,17:13.7,26,Augsburg Open,2016,,,,,,,,,,,26.0,1:17.7,3:26.7
6,38,7,Richmond,Sam,SO,Macalester College,5:38.3,17:32.1,32,Augsburg Open,2016,,,,,,,,,,,37.0,1:36.1,3:30.4
7,46,8,Jarka-Sellers,Peter,FR,Macalester College,5:42.9,17:46.4,--,Augsburg Open,2016,,,,,,,,,,,45.0,1:50.4,3:33.3
8,47,9,Engberg,Ethan,SO,Macalester College,5:43.7,17:49.0,--,Augsburg Open,2016,,,,,,,,,,,46.0,1:53.0,3:33.8
9,49,10,Bildsten,Ben,FR,Macalester College,5:45.5,17:54.5,--,Augsburg Open,2016,,,,,,,,,,,48.0,1:58.5,3:34.9
10,56,11,Kirchmeier,Kemal,SR,Macalester College,5:51.7,18:13.7,--,Augsburg Open,2016,,,,,,,,,,,55.0,2:17.7,3:38.7
11,59,12,Nelson,Spencer,SR,Macalester College,5:58.5,18:35.1,--,Augsburg Open,2016,,,,,,,,,,,58.0,2:39.1,3:43.0
12,61,13,O'Donnell-Hoff,Sam,FR,Macalester College,6:01.7,18:44.9,--,Augsburg Open,2016,,,,,,,,,,,60.0,2:48.9,3:45.0
13,65,14,Heen,Kai,JR,Macalester College,6:09.3,19:08.4,--,Augsburg Open,2016,,,,,,,,,,,64.0,3:12.4,3:49.7
14,66,15,Martinez,Mason,SO,Macalester College,6:10.1,19:10.9,--,Augsburg Open,2016,,,,,,,,,,,65.0,3:14.9,3:50.2
15,67,16,Hernandez,Armando,FR,Macalester College,6:13.2,19:20.7,--,Augsburg Open,2016,,,,,,,,,,,66.0,3:24.7,3:52.1
16,69,17,Gordon,Alex,JR,Macalester College,6:14.7,19:25.4,--,Augsburg Open,2016,,,,,,,,,,,68.0,3:29.4,3:53.1
17,72,18,Feeney,Will,JR,Macalester College,6:21.6,19:47.0,--,Augsburg Open,2016,,,,,,,,,,,71.0,3:51.0,3:57.4
18,73,19,Loeffler-Kemp,Seth,SR,Macalester College,6:24.8,19:56.8,--,Augsburg Open,2016,,,,,,,,,,,72.0,4:00.8,3:59.4
19,77,20,Stokes,Rob,FR,Macalester College,6:41.9,20:50.0,--,Augsburg Open,2016,,,,,,,,,,,76.0,4:54.0,4:10.0
